User Prompt,URL,Stars/Score,custom_rating
What are the basics of Python programming? IS this tutorial good for beginners?,https://www.geeksforgeeks.org/python-programming-language-tutorial/,3,4
Deepseek banned in south korea. WHich countries will be next? Will US be one of them?,https://bgr.com/tech/deepseek-ai-banned-in-south-korea-should-the-us-be-next/,3,4
what are 15 jobs that pay well? Is Careere in tech and data science in top 15 jobs?,https://www.msn.com/en-us/money/careersandeducation/15-jobs-that-pay-insanely-well/ss-AA19w5sa,2,1
how antivirus work for computers?,https://www.msn.com/en-us/money/other/how-antivirus-software-has-changed-with-the-internet/ar-AA1xNQ5r,2,3
Are any of these wild cats dangerous? ARe there any bigger cats apart from these,"https://www.msn.com/en-us/travel/news/the-top-10-smallest-wild-cats-in-the-world/ss-BB1peiuW""",2,3
"Air quality has been hidered because of the fire""",https://www.msn.com/en-us/news/us/abington-company-that-caught-fire-had-toxic-ignitable-waste-on-site-and-had-past-epa-violations/ar-AA1ziStG,3,2
Learning paths for java and mongo DB. become expert after following the learning path in java and mongodb,MongoDB Courses and Trainings | MongoDB University,3,4
cultural importance and heritage of Hampi. significance of art and sculptures,https://www.caleidoscope.in/art-culture/culture-and-heritage-of-hampi,3,3
Emerging trends in 2025 for data science. What future holds for DAta science,The Future of Data Science: Emerging Trends for 2025 and Beyond,2,3
Most demand careeer paths in 2026? IT and Data science are there?,What Will Be The Most In Demand Career Paths In 2026?,2,3
